Customer ID,Age,Number of Dependents,Population,Satisfaction Score,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender_Female,Gender_Male,Gender_nan,Married_No,Married_Yes,Married_nan,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Offer_nan,Phone Service_No,Phone Service_Yes,Phone Service_nan,Multiple Lines_No,Multiple Lines_Yes,Multiple Lines_nan,Internet Service_No,Internet Service_Yes,Internet Service_nan,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Internet Type_nan,Online Security_No,Online Security_Yes,Online Security_nan,Online Backup_No,Online Backup_Yes,Online Backup_nan,Device Protection Plan_No,Device Protection Plan_Yes,Device Protection Plan_nan,Premium Tech Support_No,Premium Tech Support_Yes,Premium Tech Support_nan,Streaming TV_No,Streaming TV_Yes,Streaming TV_nan,Streaming Movies_No,Streaming Movies_Yes,Streaming Movies_nan,Streaming Music_No,Streaming Music_Yes,Streaming Music_nan,Unlimited Data_No,Unlimited Data_Yes,Unlimited Data_nan,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Contract_nan,Paperless Billing_No,Paperless Billing_Yes,Paperless Billing_nan,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Payment Method_nan,Churn Category
0650-BWOZN,0.29508196721311475,0.0,0.2096476751315864,0.0,0.0,0.4788732394366197,0.45820756956879866,0.18823529411764706,0.6656716417910449,0.3480343440880096,0.0,0.0,0.2505190796857464,0.326316819395918,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
0562-FGDCR,0.5737704918032787,0.0,0.14181507337227525,0.0,0.0,0.0,0.0,0.3411764705882353,0.17562189054726365,0.0019702782656928902,0.0,0.0,0.0,0.0012159244287078587,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
6688-UZPWD,0.4548823155699731,0.0,0.30682433395070524,0.5623956981272019,0.36363636363636365,0.4788732394366197,0.8205641128225646,0.23911606548794143,0.017910447761194038,0.08411528150134048,0.0,0.0,0.4028338945005612,0.18072366737525902,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2905-KFQUV,0.06557377049180328,0.0,0.3568409555017334,0.5,0.0,0.08450704225352113,0.4316863372674534,0.8352941176470589,0.5611940298507463,0.0607492835351761,0.0,0.06666666666666667,0.21054457778019167,0.05722120291219754,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
9720-JJJOR,0.36065573770491804,0.0,0.003058365389181745,0.5623956981272019,0.7272727272727273,0.9436619718309859,0.3424684936987398,0.0,0.07512437810945274,0.21871244337616716,0.0,0.0,0.32664421997755333,0.25541939357650706,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
5236-PERKL,0.04918032786885246,0.0,0.2096476751315864,0.5623956981272019,0.0,0.014084507042253521,0.45820756956879866,0.3176470588235294,0.6706467661691543,0.01879564574281224,0.0,0.0,0.022687991021324353,0.020153905592750616,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
0394-YONDK,0.4548823155699731,0.0,0.4285320795934843,0.5,0.0,0.0,0.6547309461892378,0.0,0.07114427860696516,0.000756910418785245,0.0,0.0,0.21054457778019167,0.0030749340607694616,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,-1
0396-HUJBP,0.29508196721311475,0.0,0.2096476751315864,0.5623956981272019,0.18181818181818182,0.11267605633802817,0.8479695939187837,0.23911606548794143,0.4711442786069651,0.06638277711010446,0.0,0.0,0.21054457778019167,0.07973336633779284,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,-1
8200-LGKSR,0.22950819672131148,0.0,0.44742365959063496,0.5,0.0,0.49295774647887325,0.17003400680136027,0.0,0.0029850746268656786,0.07744175834334843,0.0,0.0,0.08585858585858586,0.08142177859471249,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
3279-DYZQM,0.21311475409836064,0.0,0.2096476751315864,0.5623956981272019,0.0,0.44420649616221375,0.45820756956879866,0.23911606548794143,0.4611265939909204,0.26137370155187495,0.0,0.0,0.21054457778019167,0.2528086748198647,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
