Customer ID,Age,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Population,Gender_Female,Gender_Male,Gender_nan,Married_No,Married_Yes,Married_nan,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Offer_nan,Phone Service_No,Phone Service_Yes,Phone Service_nan,Multiple Lines_No,Multiple Lines_Yes,Multiple Lines_nan,Internet Service_No,Internet Service_Yes,Internet Service_nan,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Internet Type_nan,Online Security_No,Online Security_Yes,Online Security_nan,Online Backup_No,Online Backup_Yes,Online Backup_nan,Device Protection Plan_No,Device Protection Plan_Yes,Device Protection Plan_nan,Premium Tech Support_No,Premium Tech Support_Yes,Premium Tech Support_nan,Streaming TV_No,Streaming TV_Yes,Streaming TV_nan,Streaming Movies_No,Streaming Movies_Yes,Streaming Movies_nan,Streaming Music_No,Streaming Music_Yes,Streaming Music_nan,Unlimited Data_No,Unlimited Data_Yes,Unlimited Data_nan,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Contract_nan,Paperless Billing_No,Paperless Billing_Yes,Paperless Billing_nan,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Payment Method_nan,Churn Category
0650-BWOZN,-0.6304080851993157,-0.45104187259968315,33.362575,-117.299644,-0.5988099377842525,0.11280110678547496,0.17296460931823907,-0.21801612037846035,0.7410931668283465,0.3598578423849079,-0.16681139208451826,-0.2890236959990723,0.17767615894888564,0.3390709947603734,-2.0873585399864596,-0.0719039413386657,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
0562-FGDCR,0.4792593702189756,-0.45104187259968315,34.903052,-118.411251,-0.5988099377842525,-1.3752320046667963,-1.5977824244704428,0.5018115264122893,-1.0233461646416526,-1.063749792372143,-0.16681139208451826,-0.2890236959990723,-0.9529360815335928,-1.137927521745051,-2.0873585399864596,-0.36063539761999064,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
6688-UZPWD,-1.4789773158133033,1.7615570914635428,33.721917,-118.043237,0.850838870670567,0.11280110678547496,1.2495732527546348,-1.103957839505537,-1.5911911068507794,-0.725828969863361,-0.16681139208451826,-0.2890236959990723,0.8650848555338814,-0.3223878719386901,-0.1897904860479822,0.5144747890470467,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2905-KFQUV,-1.5442518720143792,-0.45104187259968315,37.305622,-122.000887,-0.5988099377842525,-1.112637926175219,-0.09983177809020959,2.8274085391208654,0.36491828397687465,-0.8219499381566376,-0.16681139208451826,0.13698457255697036,-0.7616494319874392,-0.8834843180592215,-0.1897904860479822,0.7797329622461843,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
9720-JJJOR,-0.3693098603950119,-0.45104187259968315,39.672813,-120.456699,2.3004876791253865,1.55706853848915,-0.409417500187329,-1.103957839505537,-1.3851905757654495,-0.17213511318881086,-0.16681139208451826,-0.28902369599908195,0.5212348832198173,0.0169697813205118,-0.1897904860479822,-1.0965177850613506,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
5236-PERKL,-1.609526428215455,-0.45104187259968315,33.362575,-117.299644,-0.5988099377842525,-1.3314663249182002,1.2086190877238498,0.39106881152140477,0.7590062564879404,-0.9945350891896451,-0.16681139208451826,-0.2890236959990723,-0.8505433999348772,-1.0518884781191638,-0.1897904860479822,-0.0719039413386657,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
0394-YONDK,0.022337476811443855,-0.45104187259968315,34.018354,-117.85492,-0.5988099377842525,-1.3752320046667963,0.6741325271525893,-1.103957839505537,-1.3995210474931246,-1.0687412373131886,-0.16681139208451895,-0.2890236959990723,-0.9114902186999796,-1.1294816684384916,-0.1897904860479822,1.1599397019550888,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,-1
0396-HUJBP,-0.6304080851993157,-0.45104187259968315,33.362575,-117.299644,0.12601446644315725,-1.0251065666780266,1.344670212232898,0.003469309403308774,0.040691361138224705,-0.7987753723589264,-0.16681139208451826,-0.2890236959990723,-0.4698315557269396,-0.7812070481480278,-0.1897904860479822,-0.0719039413386657,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,-1
8200-LGKSR,-0.8915063100036196,-0.45104187259968315,33.958149,-118.308441,-0.5988099377842525,0.15656678653407116,-1.0077647926709996,-1.103957839505537,-1.644930375829561,-0.7532819170391114,-0.16681139208451826,-0.2890236959990723,-0.5654495545832222,-0.7735362529046883,-0.1897904860479822,1.2601293157973001,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
3279-DYZQM,-0.9567808662046955,-0.45104187259968315,33.362575,-117.299644,-0.5988099377842525,-0.018495932460313683,-1.2083767276487129e-14,0.003469309403308774,-2.341954894806461e-14,8.86320961195047e-15,1.7471572769571502e-16,-4.54045620894351e-16,-1.0653126553089e-14,1.5549511810257653e-14,-0.1897904860479822,-0.0719039413386657,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
